Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
10,Exit long,2023-02-25 03:00:00,SL,1603.51,0.0606,99.853044,-2.88,-2.88,1.39,1.39,-2.99,-2.99,-1.09,-1.09
10,Entry long,2023-02-24 00:00:00,Long,1647.74,0.0606,99.853044,-2.88,-2.88,1.39,1.39,-2.99,-2.99,-1.09,-1.09
11,Exit long,2023-03-01 15:00:00,TP1 VWAP,1638,0.0124,19.996115999999997,0.27,1.37,0.33,1.65,-0.26,-1.29,-0.89,-0.89
11,Entry long,2023-03-01 10:00:00,Long,1612.59,0.0124,19.996115999999997,0.27,1.37,0.33,1.65,-0.26,-1.29,-0.89,-0.89
12,Exit long,2023-03-02 07:00:00,BE Stop,1634.9,0.0496,79.98446399999999,0.95,1.18,2.83,3.53,-1.04,-1.29,0.13,0.13
12,Entry long,2023-03-01 10:00:00,Long,1612.59,0.0496,79.98446399999999,0.95,1.18,2.83,3.53,-1.04,-1.29,0.13,0.13
13,Exit long,2023-03-13 05:00:00,TP1 VWAP,1516.31,0.0139,19.949002,1.09,5.44,1.55,7.78,-0.26,-1.3,1.14,1.14
13,Entry long,2023-03-11 20:00:00,Long,1435.18,0.0139,19.949002,1.09,5.44,1.55,7.78,-0.26,-1.3,1.14,1.14
14,Exit long,2023-03-13 07:00:00,BE Stop,1515.82,0.0557,79.939526,4.33,5.41,6.38,7.97,-1.04,-1.3,5.55,5.55
14,Entry long,2023-03-11 20:00:00,Long,1435.18,0.0557,79.939526,4.33,5.41,6.38,7.97,-1.04,-1.3,5.55,5.55
15,Exit long,2023-03-24 02:00:00,TP1 VWAP,1804.99,0.0115,19.924554999999998,0.79,3.97,0.85,4.25,-0.24,-1.21,6.26,6.26
15,Entry long,2023-03-23 08:00:00,Long,1732.57,0.0115,19.924554999999998,0.79,3.97,0.85,4.25,-0.24,-1.21,6.26,6.26
16,Exit long,2023-03-24 06:00:00,BE Stop,1802.73,0.0462,80.04473399999999,3.08,3.84,5.76,7.18,-0.97,-1.21,9.42,9.42
16,Entry long,2023-03-23 08:00:00,Long,1732.57,0.0462,80.04473399999999,3.08,3.84,5.76,7.18,-0.97,-1.21,9.42,9.42
17,Exit long,2023-03-26 23:00:00,TP1 VWAP,1777.94,0.0113,19.844608,0.21,1.04,0.35,1.77,-0.51,-2.55,9.54,9.54
17,Entry long,2023-03-25 06:00:00,Long,1756.16,0.0113,19.844608,0.21,1.04,0.35,1.77,-0.51,-2.55,9.54,9.54
18,Exit long,2023-03-27 02:00:00,BE Stop,1763.86,0.0456,80.08089600000001,0.19,0.24,2.05,2.56,-2.05,-2.55,9.82,9.82
